name,price,conf,percent,publish_time
BNB,58758492765,59973141,0.0010206718752956768,1722213174
ARB,72130000,71768,0.0009949812837931513,1722213174
CAKE,195949829,264773,0.0013512285330955812,1722213174
SOL,18778406107,15617843,0.0008316916202050907,1722213174
XRP,60195851,61483,0.0010213826863250093,1722213174
ADA,41314840,38217,0.0009250187099841123,1722213174
AAVE,10021501075,9484936,0.0009464586122393845,1722213174
INJ,2473516171,2878275,0.001163637025601641,1722213174
LINK,1354479489,1511989,0.0011162878524770337,1722213174
BTC,6876930263283,3084209114,0.0004484863152483997,1722213175
ETH,329067138669,132138669,0.000401555346834297,1722213175
BNB,58758225199,58239018,0.000991163667771762,1722213175
ARB,72130016,71752,0.0009947592414231545,1722213175
CAKE,195949120,253711,0.0012947799918672765,1722213175
SOL,18777000000,15900816,0.0008468240933056398,1722213175
XRP,60195361,61973,0.001029531162708701,1722213175
ADA,41314840,40451,0.000979091290199841,1722213175
AAVE,10021591990,9094990,0.0009075394417449238,1722213175
INJ,2473516546,2972104,0.001201570292629043,1722213175
LINK,1354497088,1444935,0.0010667686278554775,1722213175
BTC,6876946130782,3468491167,0.0005043650336992805,1722213176
ETH,329074603103,164430408,0.0004996751692458426,1722213176
BNB,58758193947,57769546,0.0009831742965433594,1722213176
ARB,72130042,74172,0.0010283093970748,1722213176
CAKE,195949120,264216,0.001348390847583291,1722213176
SOL,18776500500,15521850,0.0008266636266965722,1722213176
XRP,60195361,60306,0.0010018379987786767,1722213176
ADA,41314929,41784,0.0010113535472855346,1722213176
AAVE,10022000000,9503000,0.0009482139293554181,1722213176
INJ,2473513258,2998610,0.0012122878219074417,1722213176
LINK,1354500000,1447847,0.0010689162052417867,1722213176
BTC,6876953201930,3241561770,0.0004713659777545474,1722213177
ETH,329068724029,142608846,0.00043337101215195473,1722213177
BNB,58758193947,57769546,0.0009831742965433594,1722213177
ARB,72130018,74148,0.0010279770067435725,1722213177
CAKE,195949560,259398,0.001323799859514867,1722213177
SOL,18776000000,15178618,0.0008084053046442267,1722213177
XRP,60197220,61281,0.0010180038214389303,1722213177
ADA,41314896,38603,0.0009343603333770948,1722213177
AAVE,10021532023,9438820,0.0009418539978056607,1722213177
INJ,2473489123,2886196,0.00116685210909658,1722213177
LINK,1354400000,1347847,0.0009951616952155937,1722213177
BTC,6876914952658,3499478318,0.0005088732872357851,1722213178
ETH,329068720349,142612526,0.0004333822000728286,1722213178
BNB,58757572091,58391402,0.0009937681208060656,1722213178
ARB,72127998,75244,0.001043201004968972,1722213178
CAKE,195949120,258958,0.0013215573512144376,1722213178
SOL,18775000000,16178618,0.0008617106790945406,1722213178
XRP,60196277,58852,0.0009776684362057806,1722213178
ADA,41314794,38501,0.0009318937908779117,1722213178
AAVE,10021450392,10511692,0.0010489192271401506,1722213178
INJ,2473109493,2839979,0.0011483434146520419,1722213178
LINK,1354160210,1464171,0.0010812391245789152,1722213178
BTC,6876786995498,3652364190,0.000531114922185474,1722213179
ETH,329033501665,119310735,0.0003626096868442115,1722213179
BNB,58757275248,61190657,0.001041414135385436,1722213179
ARB,72111000,76259,0.0010575224306971197,1722213179
CAKE,195949547,264908,0.0013519194305664814,1722213179
SOL,18770438521,17580629,0.0009366125879441301,1722213179
XRP,60198350,56719,0.0009422019042050156,1722213179
ADA,41309974,38885,0.0009412980990982952,1722213179
AAVE,10019991012,10343342,0.0010322705866315403,1722213179
INJ,2472628761,3113108,0.001259027658782458,1722213179
LINK,1353854607,1661118,0.0012269544982240475,1722213179
BTC,6876800000000,3614528578,0.0005256119965681712,1722213180
